Date,TSLA
11/26/2012,2.151333
11/27/2012,2.143333
11/28/2012,2.215333
11/29/2012,2.246
11/30/2012,2.254667
12/3/2012,2.308
12/4/2012,2.26
12/5/2012,2.247333
12/6/2012,2.26
12/7/2012,2.278
12/10/2012,2.304667
12/11/2012,2.352
12/12/2012,2.350667
12/13/2012,2.240667
12/14/2012,2.254
12/17/2012,2.293333
12/18/2012,2.306
12/19/2012,2.307333
12/20/2012,2.295333
12/21/2012,2.266667
12/24/2012,2.285333
12/26/2012,2.239333
12/27/2012,2.246
12/28/2012,2.214667
12/31/2012,2.258
1/2/2013,2.357333
1/3/2013,2.318
1/4/2013,2.293333
1/7/2013,2.289333
1/8/2013,2.245333
1/9/2013,2.242667
1/10/2013,2.235333
1/11/2013,2.194
1/14/2013,2.217333
1/15/2013,2.26
1/16/2013,2.273333
1/17/2013,2.292
1/18/2013,2.301333
1/22/2013,2.346
1/23/2013,2.4
1/24/2013,2.466
1/25/2013,2.465333
1/28/2013,2.535333
1/29/2013,2.53
1/30/2013,2.501333
1/31/2013,2.500667
2/1/2013,2.553333
2/4/2013,2.516
2/5/2013,2.542
2/6/2013,2.611333
2/7/2013,2.632
2/8/2013,2.616
2/11/2013,2.561333
2/12/2013,2.526
2/13/2013,2.563333
2/14/2013,2.551333
2/15/2013,2.469333
2/19/2013,2.618667
2/20/2013,2.569333
2/21/2013,2.344
2/22/2013,2.407333
2/25/2013,2.292
2/26/2013,2.295333
2/27/2013,2.34
2/28/2013,2.322
3/1/2013,2.31
3/4/2013,2.372
3/5/2013,2.443333
3/6/2013,2.512667
3/7/2013,2.548667
3/8/2013,2.564667
3/11/2013,2.606667
3/12/2013,2.608
3/13/2013,2.598667
3/14/2013,2.456667
3/15/2013,2.352667
3/18/2013,2.343333
3/19/2013,2.338667
3/20/2013,2.396667
3/21/2013,2.400667
3/22/2013,2.441333
3/25/2013,2.502
3/26/2013,2.524
3/27/2013,2.544
3/28/2013,2.526
4/1/2013,2.928667
4/2/2013,2.956
4/3/2013,2.74
4/4/2013,2.800667
4/5/2013,2.758
4/8/2013,2.788667
4/9/2013,2.7
4/10/2013,2.790667
4/11/2013,2.906
4/12/2013,2.916667
4/15/2013,2.886667
4/16/2013,3.039333
4/17/2013,3.03
4/18/2013,3.131333
4/19/2013,3.188667
4/22/2013,3.346
4/23/2013,3.400667
4/24/2013,3.362
4/25/2013,3.466667
4/26/2013,3.413333
4/29/2013,3.662667
4/30/2013,3.599333
5/1/2013,3.552
5/2/2013,3.607333
5/3/2013,3.636667
5/6/2013,3.966667
5/7/2013,3.700667
5/8/2013,3.719333
5/9/2013,4.626667
5/10/2013,5.117333
5/13/2013,5.853333
5/14/2013,5.549333
5/15/2013,5.656
5/16/2013,6.15
5/17/2013,6.1
5/20/2013,5.996
5/21/2013,5.839333
5/22/2013,5.816
5/23/2013,6.182
5/24/2013,6.472
5/28/2013,7.355333
5/29/2013,6.975333
5/30/2013,6.996667
5/31/2013,6.517333
6/3/2013,6.172667
6/4/2013,6.322667
6/5/2013,6.358
6/6/2013,6.49
6/7/2013,6.802667
6/10/2013,6.67
6/11/2013,6.298
6/12/2013,6.515333
6/13/2013,6.545333
6/14/2013,6.686667
6/17/2013,6.813333
6/18/2013,6.892667
6/19/2013,6.978667
6/20/2013,6.71
6/21/2013,6.636667
6/24/2013,6.766
6/25/2013,6.826667
6/26/2013,7.048
6/27/2013,7.283333
6/28/2013,7.157333
7/1/2013,7.812
7/2/2013,7.854667
7/3/2013,7.682667
7/5/2013,8.006
7/8/2013,8.107333
7/9/2013,8.23
7/10/2013,8.151333
7/11/2013,8.374
7/12/2013,8.66
7/15/2013,8.484
7/16/2013,7.27
7/17/2013,8.016667
7/18/2013,7.935333
7/19/2013,7.978667
7/22/2013,8.162
7/23/2013,8.182667
7/24/2013,8.113333
7/25/2013,8.271333
7/26/2013,8.626
7/29/2013,8.974667
7/30/2013,8.782667
7/31/2013,8.952
8/1/2013,9.036667
8/2/2013,9.2
8/5/2013,9.645333
8/6/2013,9.476667
8/7/2013,8.948667
8/8/2013,10.232
8/9/2013,10.2
8/12/2013,9.825333
8/13/2013,9.695333
8/14/2013,9.290667
8/15/2013,9.311333
8/16/2013,9.466667
8/19/2013,9.66
8/20/2013,9.972
8/21/2013,9.857333
8/22/2013,10.473333
8/23/2013,10.789333
8/26/2013,10.948
8/27/2013,11.134
8/28/2013,11.096667
8/29/2013,11.070667
8/30/2013,11.266667
9/3/2013,11.262667
9/4/2013,11.374667
9/5/2013,11.328667
9/6/2013,11.131333
9/9/2013,10.713333
9/10/2013,11.091333
9/11/2013,10.901333
9/12/2013,10.995333
9/13/2013,11.036
9/16/2013,11.105333
9/17/2013,11.082
9/18/2013,11.081333
9/19/2013,11.861333
9/20/2013,12.226
9/23/2013,12.074
9/24/2013,12.155333
9/25/2013,12.349333
9/26/2013,12.576
9/27/2013,12.726667
9/30/2013,12.891333
10/1/2013,12.866667
10/2/2013,12.063333
10/3/2013,11.554
10/4/2013,12.065333
10/7/2013,12.204667
10/8/2013,11.648667
10/9/2013,11.252
10/10/2013,11.528667
10/11/2013,11.913333
10/14/2013,11.981333
10/15/2013,12.262667
10/16/2013,12.237333
10/17/2013,12.186667
10/18/2013,12.226667
10/21/2013,11.506667
10/22/2013,11.436
10/23/2013,10.966667
10/24/2013,11.543333
10/25/2013,11.310667
10/28/2013,10.857333
10/29/2013,10.964667
10/30/2013,10.614667
10/31/2013,10.662667
11/1/2013,10.811333
11/4/2013,11.68
11/5/2013,11.787333
11/6/2013,10.077333
11/7/2013,9.318
11/8/2013,9.196667
11/11/2013,9.646667
11/12/2013,9.186667
11/13/2013,9.246667
11/14/2013,9.173333
11/15/2013,9.03
11/18/2013,8.105333
11/19/2013,8.406
11/20/2013,8.074
11/21/2013,8.14
11/22/2013,8.092
11/25/2013,8.056
11/26/2013,8.033333
11/27/2013,8.462667
11/29/2013,8.485333
12/2/2013,8.278
12/3/2013,9.646667
12/4/2013,9.263333
12/5/2013,9.365333
12/6/2013,9.157333
12/9/2013,9.44
12/10/2013,9.479333
12/11/2013,9.31
12/12/2013,9.831333
12/13/2013,9.843333
12/16/2013,9.862667
12/17/2013,10.164
12/18/2013,9.865333
12/19/2013,9.381333
12/20/2013,9.549333
12/23/2013,9.57
12/24/2013,10.094
12/26/2013,10.366667
12/27/2013,10.074667
12/30/2013,10.162667
12/31/2013,10.028667
1/2/2014,10.006667
1/3/2014,9.970667
1/6/2014,9.8
1/7/2014,9.957333
1/8/2014,10.085333
1/9/2014,9.835333
1/10/2014,9.714667
1/13/2014,9.289333
1/14/2014,10.751333
1/15/2014,10.942
1/16/2014,11.398
1/17/2014,11.334
1/21/2014,11.778667
1/22/2014,11.904
1/23/2014,12.1
1/24/2014,11.64
1/27/2014,11.308
1/28/2014,11.892
1/29/2014,11.682
1/30/2014,12.189333
1/31/2014,12.094
2/3/2014,11.807333
2/4/2014,11.915333
2/5/2014,11.628
2/6/2014,11.892
2/7/2014,12.435333
2/10/2014,13.104
2/11/2014,13.108
2/12/2014,13.021333
2/13/2014,13.308667
2/14/2014,13.215333
2/18/2014,13.58
2/19/2014,12.909333
2/20/2014,13.998
2/21/2014,13.973333
2/24/2014,14.51
2/25/2014,16.533333
2/26/2014,16.866667
2/27/2014,16.836
2/28/2014,16.320667
3/3/2014,16.704
3/4/2014,16.989332
3/5/2014,16.844
3/6/2014,16.862667
3/7/2014,16.414
3/10/2014,15.922667
3/11/2014,15.627333
3/12/2014,16.099333
3/13/2014,15.852667
3/14/2014,15.398
3/17/2014,15.598667
3/18/2014,16.002666
3/19/2014,15.722667
3/20/2014,15.660667
3/21/2014,15.259333
3/24/2014,14.678
3/25/2014,14.696
3/26/2014,14.197333
3/27/2014,13.821333
3/28/2014,14.158
3/31/2014,13.896667
4/1/2014,14.464667
4/2/2014,15.352667
4/3/2014,15.026667
4/4/2014,14.148667
4/7/2014,13.834667
4/8/2014,14.364
4/9/2014,14.462
4/10/2014,13.612667
4/11/2014,13.585333
4/14/2014,13.206
4/15/2014,12.927333
4/16/2014,13.274
4/17/2014,13.208
4/21/2014,13.625333
4/22/2014,14.576
4/23/2014,13.866
4/24/2014,13.857333
4/25/2014,13.323333
4/28/2014,13.234
4/29/2014,13.794667
4/30/2014,13.859333
5/1/2014,13.848667
5/2/2014,14.060667
5/5/2014,14.440667
5/6/2014,13.818667
5/7/2014,13.423333
5/8/2014,11.906
5/9/2014,12.150667
5/12/2014,12.311333
5/13/2014,12.677333
5/14/2014,12.708
5/15/2014,12.572667
5/16/2014,12.770667
5/19/2014,13.072667
5/20/2014,13.02
5/21/2014,13.296667
5/22/2014,13.658667
5/23/2014,13.82
5/27/2014,14.104
5/28/2014,14.016
5/29/2014,14.016
5/30/2014,13.851333
6/2/2014,13.646667
6/3/2014,13.662667
6/4/2014,13.599333
6/5/2014,13.793333
6/6/2014,13.878
6/9/2014,13.687333
6/10/2014,13.486667
6/11/2014,13.631333
6/12/2014,13.568
6/13/2014,13.761333
6/16/2014,14.974
6/17/2014,15.444667
6/18/2014,15.141333
6/19/2014,15.186
6/20/2014,15.306
6/23/2014,15.814667
6/24/2014,15.5
6/25/2014,15.792667
6/26/2014,15.706667
6/27/2014,15.937333
6/30/2014,16.004
7/1/2014,15.981333
7/2/2014,15.295333
7/3/2014,15.283333
7/7/2014,14.844
7/8/2014,14.604667
7/9/2014,14.870667
7/10/2014,14.630667
7/11/2014,14.542
7/14/2014,15.113333
7/15/2014,14.638667
7/16/2014,14.477333
7/17/2014,14.36
7/18/2014,14.668
7/21/2014,14.702667
7/22/2014,14.638667
7/23/2014,14.832667
7/24/2014,14.902667
7/25/2014,14.904667
7/28/2014,14.988
7/29/2014,15.000667
7/30/2014,15.261333
7/31/2014,14.886667
8/1/2014,15.551333
8/4/2014,15.901333
8/5/2014,15.899333
8/6/2014,16.595333
8/7/2014,16.826
8/8/2014,16.542
8/11/2014,17.288
8/12/2014,17.330667
8/13/2014,17.354
8/14/2014,17.425333
8/15/2014,17.467333
8/18/2014,17.329332
8/19/2014,17.117332
8/20/2014,17.047333
8/21/2014,16.955999
8/22/2014,17.118668
8/25/2014,17.503332
8/26/2014,17.449333
8/27/2014,17.549999
8/28/2014,17.590668
8/29/2014,17.98
9/2/2014,18.941334
9/3/2014,18.746
9/4/2014,19.069332
9/5/2014,18.492666
9/8/2014,18.807333
9/9/2014,18.565332
9/10/2014,18.74
9/11/2014,18.687332
9/12/2014,18.613333
9/15/2014,16.924
9/16/2014,17.382668
9/17/2014,17.425333
9/18/2014,17.587999
9/19/2014,17.288
9/22/2014,16.668667
9/23/2014,16.694
9/24/2014,16.809334
9/25/2014,16.463333
9/26/2014,16.440001
9/29/2014,16.350668
9/30/2014,16.178667
10/1/2014,16.016001
10/2/2014,16.761333
10/3/2014,17.014
10/6/2014,17.374666
10/7/2014,17.304667
10/8/2014,17.285334
10/9/2014,17.134001
10/10/2014,15.794
10/13/2014,14.972667
10/14/2014,15.137333
10/15/2014,15.313333
10/16/2014,15.09
10/17/2014,15.165333
10/20/2014,15.364667
10/21/2014,15.689333
10/22/2014,15.406667
10/23/2014,15.686
10/24/2014,15.682667
10/27/2014,14.778
10/28/2014,16.184668
10/29/2014,15.873333
10/30/2014,15.910667
10/31/2014,16.113333
11/3/2014,16.172667
11/4/2014,15.928667
11/5/2014,15.398
11/6/2014,16.081333
11/7/2014,16.013332
11/10/2014,16.128668
11/11/2014,16.738667
11/12/2014,16.606667
11/13/2014,16.780001
11/14/2014,17.245333
11/17/2014,16.931999
11/18/2014,17.18
11/19/2014,16.516001
11/20/2014,16.580667
11/21/2014,16.185333
11/24/2014,16.448
11/25/2014,16.539333
11/26/2014,16.562668
11/28/2014,16.301332
12/1/2014,15.442667
12/2/2014,15.428667
12/3/2014,15.286667
12/4/2014,15.218667
12/5/2014,14.914
12/8/2014,14.290667
12/9/2014,14.459333
12/10/2014,13.989333
12/11/2014,13.925333
12/12/2014,13.8
12/15/2014,13.602667
12/16/2014,13.187333
12/17/2014,13.721333
12/18/2014,14.550667
12/19/2014,14.619333
12/22/2014,14.84
12/23/2014,14.731333
12/24/2014,14.817333
12/26/2014,15.188
12/29/2014,15.047333
12/30/2014,14.815333
12/31/2014,14.827333
1/2/2015,14.620667
1/5/2015,14.006
1/6/2015,14.085333
1/7/2015,14.063333
1/8/2015,14.041333
1/9/2015,13.777333
1/12/2015,13.480667
1/13/2015,13.616667
1/14/2015,12.846
1/15/2015,12.791333
1/16/2015,12.871333
1/20/2015,12.795333
1/21/2015,13.104667
1/22/2015,13.441333
1/23/2015,13.419333
1/26/2015,13.77
1/27/2015,13.732
1/28/2015,13.291333
1/29/2015,13.68
1/30/2015,13.573333
2/2/2015,14.062667
2/3/2015,14.557333
2/4/2015,14.57
2/5/2015,14.732667
2/6/2015,14.490667
2/9/2015,14.498667
2/10/2015,14.419333
2/11/2015,14.186667
2/12/2015,13.525333
2/13/2015,13.584667
2/17/2015,13.623333
2/18/2015,13.630667
2/19/2015,14.114
2/20/2015,14.474
2/23/2015,13.822667
2/24/2015,13.607333
2/25/2015,13.584
2/26/2015,13.812667
2/27/2015,13.556
3/2/2015,13.155333
3/3/2015,13.304
3/4/2015,13.496
3/5/2015,13.375333
3/6/2015,12.925333
3/9/2015,12.725333
3/10/2015,12.688
3/11/2015,12.916
3/12/2015,12.738
3/13/2015,12.578667
3/16/2015,13.046667
3/17/2015,12.982
3/18/2015,13.380667
3/19/2015,13.043333
3/20/2015,13.205333
3/23/2015,13.308667
3/24/2015,13.448
3/25/2015,12.953333
3/26/2015,12.694
3/27/2015,12.333333
3/30/2015,12.704667
3/31/2015,12.584667
4/1/2015,12.506
4/2/2015,12.733333
4/6/2015,13.54
4/7/2015,13.55
4/8/2015,13.844667
4/9/2015,14.006
4/10/2015,14.06
4/13/2015,13.985333
4/14/2015,13.830667
4/15/2015,13.855333
4/16/2015,13.78
4/17/2015,13.786
4/20/2015,13.684667
4/21/2015,13.960667
4/22/2015,14.629333
4/23/2015,14.573333
4/24/2015,14.562
4/27/2015,15.436667
4/28/2015,15.365333
4/29/2015,15.496667
4/30/2015,15.07
5/1/2015,15.068667
5/4/2015,15.367333
5/5/2015,15.53
5/6/2015,15.362
5/7/2015,15.786667
5/8/2015,15.774
5/11/2015,15.966
5/12/2015,16.316
5/13/2015,16.212
5/14/2015,16.273333
5/15/2015,16.589333
5/18/2015,16.583332
5/19/2015,16.476
5/20/2015,16.290001
5/21/2015,16.374666
5/22/2015,16.515333
5/26/2015,16.497334
5/27/2015,16.495333
5/28/2015,16.763332
5/29/2015,16.719999
6/1/2015,16.629999
6/2/2015,16.556667
6/3/2015,16.599333
6/4/2015,16.394667
6/5/2015,16.609333
6/8/2015,17.086
6/9/2015,17.066668
6/10/2015,16.713333
6/11/2015,16.760668
6/12/2015,16.712667
6/15/2015,16.691999
6/16/2015,16.874666
6/17/2015,17.360666
6/18/2015,17.459333
6/19/2015,17.500668
6/22/2015,17.319332
6/23/2015,17.844667
6/24/2015,17.677999
6/25/2015,17.919333
6/26/2015,17.806
6/29/2015,17.468
6/30/2015,17.884001
7/1/2015,17.943333
7/2/2015,18.667999
7/6/2015,18.648001
7/7/2015,17.858667
7/8/2015,16.997334
7/9/2015,17.194668
7/10/2015,17.276667
7/13/2015,17.477333
7/14/2015,17.709999
7/15/2015,17.542667
7/16/2015,17.778667
7/17/2015,18.310667
7/20/2015,18.817333
7/21/2015,17.784666
7/22/2015,17.858
7/23/2015,17.813334
7/24/2015,17.694
7/27/2015,16.867332
7/28/2015,17.654667
7/29/2015,17.587999
7/30/2015,17.785999
7/31/2015,17.743334
8/3/2015,17.332666
8/4/2015,17.752001
8/5/2015,18.008667
8/6/2015,16.408667
8/7/2015,16.167334
8/10/2015,16.076
8/11/2015,15.824667
8/12/2015,15.878
8/13/2015,16.167334
8/14/2015,16.209999
8/17/2015,16.999332
8/18/2015,17.381332
8/19/2015,17.016666
8/20/2015,16.145332
8/21/2015,15.384667
8/24/2015,14.591333
8/25/2015,14.668667
8/26/2015,14.989333
8/27/2015,16.199333
8/28/2015,16.565332
8/31/2015,16.604
9/1/2015,15.908667
9/2/2015,16.512667
9/3/2015,16.371332
9/4/2015,16.128668
9/8/2015,16.544666
9/9/2015,16.594
9/10/2015,16.565332
9/11/2015,16.682667
9/14/2015,16.879333
9/15/2015,16.904667
9/16/2015,17.483334
9/17/2015,17.471333
9/18/2015,17.374666
9/21/2015,17.613333
9/22/2015,17.396
9/23/2015,17.403999
9/24/2015,17.541332
9/25/2015,17.127333
9/28/2015,16.562
9/29/2015,16.443333
9/30/2015,16.559999
10/1/2015,15.992
10/2/2015,16.504667
10/5/2015,16.41
10/6/2015,16.097334
10/7/2015,15.464
10/8/2015,15.114667
10/9/2015,14.712667
10/12/2015,14.372
10/13/2015,14.616667
10/14/2015,14.458667
10/15/2015,14.754
10/16/2015,15.134
10/19/2015,15.206667
10/20/2015,14.202
10/21/2015,14.006
10/22/2015,14.114667
10/23/2015,13.939333
10/26/2015,14.350667
10/27/2015,14.023333
10/28/2015,14.197333
10/29/2015,14.108667
10/30/2015,13.795333
11/2/2015,14.252667
11/3/2015,13.89
11/4/2015,15.442
11/5/2015,15.451333
11/6/2015,15.490667
11/9/2015,15.022
11/10/2015,14.433333
11/11/2015,14.605333
11/12/2015,14.196
11/13/2015,13.812667
11/16/2015,14.287333
11/17/2015,14.266667
11/18/2015,14.738
11/19/2015,14.786667
11/20/2015,14.667333
11/23/2015,14.516667
11/24/2015,14.55
11/25/2015,15.309333
11/27/2015,15.440667
11/30/2015,15.350667
12/1/2015,15.812667
12/2/2015,15.466
12/3/2015,15.514
12/4/2015,15.358667
12/7/2015,15.408667
12/8/2015,15.114667
12/9/2015,14.968
12/10/2015,15.138
12/11/2015,14.468
12/14/2015,14.572
12/15/2015,14.739333
12/16/2015,15.634
12/17/2015,15.559333
12/18/2015,15.364
12/21/2015,15.504
12/22/2015,15.33
12/23/2015,15.313333
12/24/2015,15.371333
12/28/2015,15.263333
12/29/2015,15.812667
12/30/2015,15.872667
12/31/2015,16.000668
1/4/2016,14.894
1/5/2016,14.895333
1/6/2016,14.602667
1/7/2016,14.376667
1/8/2016,14.066667
1/11/2016,13.856667
1/12/2016,13.998
1/13/2016,13.354
1/14/2016,13.745333
1/15/2016,13.666
1/19/2016,13.648
1/20/2016,13.246667
1/21/2016,13.331333
1/22/2016,13.503333
1/25/2016,13.092
1/26/2016,12.904
1/27/2016,12.538
1/28/2016,12.646667
1/29/2016,12.746667
2/1/2016,13.129333
2/2/2016,12.185333
2/3/2016,11.565333
2/4/2016,11.688667
2/5/2016,10.84
2/8/2016,9.866
2/9/2016,9.883333
2/10/2016,9.578
2/11/2016,10.031333
2/12/2016,10.069333
2/16/2016,10.344667
2/17/2016,11.245333
2/18/2016,11.118
2/19/2016,11.105333
2/22/2016,11.849333
2/23/2016,11.814
2/24/2016,11.933333
2/25/2016,12.495333
2/26/2016,12.689333
2/29/2016,12.795333
3/1/2016,12.423333
3/2/2016,12.556
3/3/2016,13.049333
3/4/2016,13.402667
3/7/2016,13.686
3/8/2016,13.506667
3/9/2016,13.914667
3/10/2016,13.678667
3/11/2016,13.833333
3/14/2016,14.343333
3/15/2016,14.556
3/16/2016,14.795333
3/17/2016,15.092
3/18/2016,15.516
3/21/2016,15.888
3/22/2016,15.616
3/23/2016,14.838667
3/24/2016,15.183333
3/28/2016,15.350667
3/29/2016,15.342
3/30/2016,15.126
3/31/2016,15.318
4/1/2016,15.839333
4/4/2016,16.466
4/5/2016,17.031334
4/6/2016,17.694668
4/7/2016,17.146667
4/8/2016,16.671333
4/11/2016,16.661333
4/12/2016,16.521334
4/13/2016,16.968666
4/14/2016,16.790667
4/15/2016,16.967333
4/18/2016,16.925333
4/19/2016,16.491333
4/20/2016,16.664667
4/21/2016,16.552668
4/22/2016,16.916668
4/25/2016,16.788
4/26/2016,16.916
4/27/2016,16.764668
4/28/2016,16.514
4/29/2016,16.050667
5/2/2016,16.120001
5/3/2016,15.488
5/4/2016,14.837333
